record_id,received_date,source,supplier_name,document_type,invoice_number,invoice_date,due_date,total_amount,currency,project_or_client,category,status,priority,assigned_to,approval_owner,payment_status,document_link,folder_link,missing_info,duplicate_check,notes,next_action,next_action_due,missing_required_fields,due_soon_flag,approval_blocked,file_blocked,ownerless_active,overdue_next_action,validation_status
INV-001,2026-07-10,email,ABC Supplies,Invoice,INV-4521,2026-07-09,2026-07-31,1437.50,ZAR,Demo Client,Materials,Ready for Review,Normal,Admin,Owner,Unpaid,doc-link,folder-link,,No duplicate found,Ready for review,Approve invoice,2026-07-11,,No,No,No,No,No,Pass
INV-002,2026-07-10,email,Quick Repairs,Invoice,QR-998,2026-07-08,2026-07-15,4370.00,ZAR,Demo Client,Repairs,Missing Info,High,Admin,Owner,Unpaid,doc-link,folder-link,VAT number missing,No duplicate found,Needs supplier VAT number,Request VAT number,2026-07-10,,No,Yes,No,No,No,Pass
INV-003,2026-07-10,manual,City Stationery,Receipt,RCPT-77,2026-07-10,,356.50,ZAR,Internal,Stationery,Filed,Low,Admin,Admin,Paid,doc-link,folder-link,,No duplicate found,Receipt filed,No action,, ,No,No,No,No,No,Pass
INV-004,2026-07-10,email,Metro Cleaning Supplies,Invoice,MC-1044,2026-07-10,2026-07-17,8760.00,ZAR,Demo Client,Cleaning Supplies,Waiting for Approval,High,Admin,Owner,Unpaid,doc-link,folder-link,,New supplier,New supplier above threshold,Approve new supplier,2026-07-11,,No,Yes,No,No,No,Pass
INV-005,2026-07-09,email,BuildMart Hardware,Invoice,BM-2201,2026-07-08,2026-07-30,2910.00,ZAR,Demo Project,Materials,Possible Duplicate,Normal,Admin,Owner,Unpaid,doc-link,folder-link,,Possible duplicate,Similar invoice exists,Review possible duplicate,2026-07-11,,No,Yes,No,No,No,Pass
INV-006,2026-07-08,email,ABC Supplies,Invoice,INV-4522,2026-07-08,2026-07-11,2100.00,ZAR,Demo Client,Materials,Ready for Review,High,Admin,Owner,Unpaid,doc-link,folder-link,,No duplicate found,Due soon,Approve due-soon invoice,2026-07-10,,Yes,No,No,No,Yes,Pass
INV-007,2026-07-10,upload,,Invoice,UNK-001,2026-07-10,2026-07-25,1200.00,ZAR,Demo Client,Unknown,Needs Capture,Normal,Admin,,Unpaid,doc-link,,,Supplier missing,Unknown supplier,Identify supplier,2026-07-11,supplier_name,No,Yes,No,No,No,Pass
INV-008,2026-07-06,email,Quick Repairs,Invoice,QR-997,2026-07-06,2026-07-12,3200.00,ZAR,Demo Client,Repairs,New,Normal,,,,Unpaid,doc-link,folder-link,,No duplicate found,Still new after 1 business day,Capture and assign owner,2026-07-08,assigned_to;approval_owner,Yes,Yes,No,Yes,Yes,Fail
INV-009,2026-07-09,email,ABC Supplies,Invoice,INV-4523,2026-07-09,2026-07-29,500.00,ZAR,Demo Client,Materials,Approved,Normal,Admin,,Unpaid,doc-link,folder-link,,No duplicate found,Approved without approval owner,Add approval owner,2026-07-10,approval_owner,No,Yes,No,No,Yes,Fail
INV-010,2026-07-10,email,City Stationery,Receipt,RCPT-78,2026-07-10,,180.00,ZAR,Internal,Stationery,Filed,Low,Admin,Admin,Paid,,,,Filed without links,No duplicate found,Filed but no document/folder links,Add document and folder links,2026-07-10,document_link;folder_link,No,No,Yes,No,No,Fail
